Timestamp	How old are you? Please write a number	What is your gender?	How often do you play video games (on average)?	If you are a student, are your studies related to videogames?	If you have a job, do you work in the videogame industry?	I felt my perception of time change during the experience	I felt like everything slowed down	I felt my sense of self become somehow smaller	I experienced a sense of oneness with all things	I felt humbled by the experience	I felt closely connected to humanity	I experienced something greater than myself	I had chills or goosebumps	I struggled to take in all that I was experiencing at once	I felt challenged to mentally process what I was experiencing	I think the experience had a positive impact on me	I felt fear or discomfort	I had a sense of peace of mind	I felt admiration towards the game developers	After the experience, I wanted to be a better person	Are there any other comments you wish to add about your feelings during or after the experience?	What is the title of the game?	What genre does the game belong to? Choose all that apply	How would you rate the graphics?	How would you describe the graphics of the game? Choose all that apply.	How would you rate the story (if not applicable skip this question)?	How would you describe the story of the game? Choose all that apply. (If the game did not have a story, select "not applicable")	How would you rate the soundtrack?	How would you describe the soundtrack of the game? Choose all that apply	How did you like playing the main character (if applicable)?	Which of these items apply to your experience with the main character? You can select as many items as you want. (If the game did not involve controlling a character, select "not applicable")	In what place(s) was the game set? Choose all the locations that you can remember from the game	Which of these characteristics apply to the game? Choose all that apply	When the experience occurred, were you playing using a virtual reality headset?	How would you describe the VR experience (if you replied "no" to the previous question, select "not applicable")? Choose all that apply	Is there anything else you would like to tell me about the game that was not covered by the previous questions?
4/19/2022 21:58:48	35	Male	more than 6 hours per week	No	No	3	4	2	3	5	3	4	4	5	2	4	1	4	5	3		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...)	5	visually stunning, realistic	5	complex, includes plot-twists, captivating, confusing, rich in subplots	4	pleasant	5	The character was customizable, I felt like my choices could affect the course of the game, I was able to shape, at least partially, the main character's personality	sky, woods, forests, medieval towns, fantasy world	the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/19/2022 22:29:35	17	Male	more than 6 hours per week	No	No	5	3	4	5	3	4	5	5	5	4	5	2	4	5	4		Legend of Zelda: Breath of the Wild	adventure (eg. text or graphic adventures, visual novels...), action-adventure (eg. metroidvania)	4	visually stunning	5	captivating, simple and easy to follow	5	on spot, perfect for the game, pleasant	4	The character was simple	medieval towns, woods, forests, fantasy world, desert	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 22:32:36	20	Prefer not to say	more than 6 hours per week	No	No	5	2	5	3	5	1	5	5	5	5	5	1	4	5	5		Xenoblade Chronicles	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	simple	5	includes plot-twists, captivating, complex	5	captured my attention while playing, on spot, perfect for the game	5	Character was complex and exprienced great change	post-apocalyptic world, sky, woods, forests, sea, ocean, fantasy world	the game kept me focused and absorbed, the game was challenging, sometimes too much	No	not applicable	
4/19/2022 22:47:50	30	Male	2-6 hours per week	No	No	4	4	3	3	3	3	4	4	5	4	5	1	4	5	3		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning	4	confusing, includes plot-twists, captivating, complex, rich in subplots	4	captured my attention while playing, chilling, pleasant	4	I felt like my choices could affect the course of the game, The character was customizable	medieval towns, woods, forests, fantasy world	the game was challenging, sometimes too much, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/19/2022 22:50:25	17	Male	more than 6 hours per week	No	No	4	4	3	3	3	1	3	5	4	4	4	1	5	5	3		The Witcher 3: Wild Hunt	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	realistic, visually stunning	5	includes plot-twists, captivating, rich in subplots	5	on spot, perfect for the game, captured my attention while playing	5	I felt like my choices could affect the course of the game	fantasy world, woods, forests, sea, ocean, medieval towns	the game was slow-paced and relaxing, the game was very easy, the game kept me focused and absorbed	No	not applicable	
4/19/2022 23:04:56	36	Female	less than 1 hour per week	No	No	2	2	4	2	5	2	4	3	3	3	4	1	3	5	2	I felt struck by the beauty and expansiveness of the scene	Elder Scrolls: Skyrim	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning	4	rich in subplots, captivating, includes plot-twists	5	on spot, perfect for the game, captured my attention while playing, Epic, inspiring, uplifting	5	I could choose the character out of a pre-made set, I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent, The character was customizable, I felt represented by the main character, I was able to shape, at least partially, the main character's personality	fantasy world, medieval towns, sea, ocean, woods, forests	the game was fast-paced and exciting, the game was addictive, the game was challenging at the right point, the game kept me focused and absorbed, the game was slow-paced and relaxing, There was a lot to explore	No	not applicable	
4/19/2022 23:08:52	20	Male	more than 6 hours per week	No	No	5	5	5	3	4	3	5	5	5	3	5	1	5	5	3		Halo Master Chief Collection	action (eg. platform, survival, stealth, shooter, fighting...)	4	realistic	5	captivating, complex	5	on spot, perfect for the game	5	As playing as Chief goes, it made me feel like a badass. It was also very enjoyable to do this along my wife playing as Arbiter (on Halo 3 at least).	space, spacecraft	the game kept me focused and absorbed, the game was challenging at the right point, the game was fast-paced and exciting	No	not applicable	Halo isn’t the only game that’s given me a sense of awe, although it is the most recent one to. The scale of the universe, characters, and story is what led me to that feeling. It’s something I’ve experienced a good few times that has led to some of my favorite memories as a gamer. 
4/19/2022 23:21:35	24	Male	more than 6 hours per week	No	No	2	2	5	2	3	3	5	4	4	2	4	3	5	4	3		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	visually stunning	2	complex, confusing	3	captured my attention while playing	4	I could choose the character out of a pre-made set, The character was customizable, I felt like my choices could affect the course of the game	woods, forests, medieval towns, fantasy world	the game was challenging, sometimes too much	No	not applicable	
4/19/2022 23:35:16	25	Male	more than 6 hours per week	No	No	3	1	2	3	3	2	4	4	4	4	5	4	3	5	4		Elden Ring	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning	5	captivating, complex, rich in subplots	4	chilling, on spot, perfect for the game		The character was customizable	fantasy world	the game was challenging, sometimes too much, the game kept me focused and absorbed	No	not applicable	
4/19/2022 23:35:50	38	Male	more than 6 hours per week	No	No	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	Mass Effect trilogy 	Mass Effect Trilogy	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...), action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...)	5	realistic, visually stunning	5	captivating, complex, includes plot-twists	5	on spot, perfect for the game, captured my attention while playing, chilling	5	I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent, I felt like my choices could affect the course of the game, The character was customizable, I felt represented by the main character	space, spacecraft, fantasy world, woods, forests, modern city, sky, sea, ocean, post-apocalyptic world, desert	the game was addictive, the game was challenging at the right point, the game kept me focused and absorbed, the game was slow-paced and relaxing, the game was challenging, sometimes too much, the game was fast-paced and exciting	No	not applicable	Mass Effect trilogy 
4/19/2022 23:44:38	25	Female	more than 6 hours per week	No	No	5	5	1	5	1	5	3	5	5	5	5	1	5	5	5		Hellablade Senua's Sacrifice	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), action (eg. platform, survival, stealth, shooter, fighting...), adventure (eg. text or graphic adventures, visual novels...)	5	disturbing, visually stunning, realistic	5	complex, captivating	5	pleasant, on spot, perfect for the game, captured my attention while playing, chilling	5	I felt represented by the main character	Orkney Islands, pict constructions, main character head	the game kept me focused and absorbed, the game was addictive	No	not applicable	
4/19/2022 23:56:41	26	Male	more than 6 hours per week	No	No	5	4	3	2	3	4	4	5	4	2	5	1	5	5	5	Truly a colourful feeling.	Horizon Forbidden West	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning, realistic	5	captivating, complex, includes plot-twists	5	captured my attention while playing, on spot, perfect for the game	5	I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent, The character was customizable, I felt represented by the main character	post-apocalyptic world, woods, forests, modern city, sky, desert, sea, ocean, fantasy world	the game was slow-paced and relaxing, the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point	Yes	wonderful	
4/20/2022 0:49:12	31	Male	more than 6 hours per week	No	No	4	4	4	3	5	3	4	5	4	4	5	1	4	5	5	While the experience I have in mind was an incredible in-game experience, a large part of my feeling if “awe” was indeed underpinned by an appreciation for the technology and the developers/creatives who made the experience possible.	Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning	3	confusing, captivating, rich in subplots, complex	4	on spot, perfect for the game	4	The character was customizable, I felt like my choices could affect the course of the game, I could choose the character out of a pre-made set, I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent, I felt represented by the main character	post-apocalyptic world, woods, forests, fantasy world	the game kept me focused and absorbed, the game was challenging, sometimes too much, the game was addictive	No	not applicable	
4/20/2022 1:12:18	28	Male	more than 6 hours per week	No	No	5	4	2	2	2	1	2	4	5	5	4	3	4	5	3		Elden Ring	action-adventure (eg. metroidvania), adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...)	3	realistic	4	includes plot-twists, complex, confusing, captivating, rich in subplots	5	pleasant, on spot, perfect for the game	3	The character was simple	medieval towns, desert, woods, forests, fantasy world	the game kept me focused and absorbed, the game was fast-paced and exciting, the game was addictive, the game was challenging, sometimes too much, the game was challenging at the right point	No	not applicable	
4/20/2022 1:12:25	31	Male	2-6 hours per week	No	No	4	3	4	3	4	5	4	5	3	3	4	3	3	4	4		Nier Automata	action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, simple	5	rich in subplots, includes plot-twists, simple and easy to follow, core story is simple, details and side stories add complexity	5	captured my attention while playing, chilling	4	The character was simple, I identified myself with the main character, to a certain extent	post-apocalyptic world, desert, sea, ocean, woods, forests, space, spacecraft, sky, modern city	the game was slow-paced and relaxing, the game was very easy, the game kept me focused and absorbed	No	not applicable	
4/20/2022 2:50:58	38	Male	more than 6 hours per week	No	Yes	3	2	3	1	4	3	4	2	2	2	4	1	4	5	3		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, realistic, disturbing	2	confusing	3	chilling, on spot, perfect for the game	3	Not applicable	post-apocalyptic world, desert, fantasy world, medieval towns, woods, forests	the game kept me focused and absorbed, the game was addictive, the game was challenging, sometimes too much	No	not applicable	
4/20/2022 2:58:32	21	Male	more than 6 hours per week	No	No	4	2	1	1	3	3	3	5	4	3	3	1	3	4	3		Journey	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...)	4	visually stunning	5	Visual experience	4	on spot, perfect for the game, pleasant	5	The character was simple	desert, fantasy world	the game was slow-paced and relaxing, the game kept me focused and absorbed	No	not applicable	
4/20/2022 3:05:29	39	Male	more than 6 hours per week	No	No	1	2	3	4	3	3	4	4	1	1	5	1	5	5	3	This moment was a  positive, magical moment(The cutscene proceeding the tutorial level Kirby and the Forgotten realm)  My responses would have been much different had it been a more negative experience(The reveal of 'Would You Kindly' in Bioshock, for instance)	Kirby: the Forgotten Land	action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania)	4	simple, visually stunning	3	simple and easy to follow	3	on spot, perfect for the game, pleasant	5	I was able to shape, at least partially, the main character's personality, The character was simple, I felt like my choices could affect the course of the game	woods, forests, post-apocalyptic world, sea, ocean, desert, ice world, dark parallel universe	the game was challenging at the right point	No	not applicable	
4/20/2022 3:25:30	23	Female	more than 6 hours per week	No	Yes	5	5	5	5	5	4	5	5	5	3	5	1	5	5	3		Kerbal space program	simulation (eg. life simulation, vehicle simulation...)	5	realistic, visually stunning, Heavily modded to achieve extremely realistic graphics		not applicable	3	pleasant		Not applicable	space, spacecraft	the game kept me focused and absorbed, Space sim, learning curve is a cliff but the payoff is huge	No	not applicable	
4/20/2022 3:33:03	20	Prefer not to say	2-6 hours per week	No	No	5	4	5	2	4	3	4	4	5	4	4	4	3	5	5		Halo 5	action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning	4	complex, rich in subplots, includes plot-twists, Shows a side to both characters and the world unseen before. Barely really shown in the 15 prior years of entries. All while still being clearly a part of that wider story.	5	captured my attention while playing, chilling, on spot, perfect for the game, Halo is known for the soundtrack but even just the intro theme to me felt like a leap forward in emotion.	5	I felt represented by the main character, I could choose the character out of a pre-made set, I identified myself with the main character, to a certain extent	space, spacecraft, fantasy world	the game was fast-paced and exciting, the game was challenging at the right point, the game kept me focused and absorbed, I felt more engrossed and focused, felt more novelty in the campaign that first time than any of the others in the series.	No	not applicable	This game was hated by many people I have seen and known. Even a very close friend with similar tastes. He stopped hating it with some reflection, but did not love it. I saw the hate all since it came out and generally had no reason not to trust a lot of what I heard. After almost 4,000 hours of the other games over 2 years, and finishing everything finally feeling ready for 5, I was ready for it to maybe be bad. I played with the friend mentioned and within the first minutes I was shocked. Just the art and music in the first sequence, and the style was incredible. The animation some of the best I have seen from a game, and it was 7 years old! The flow of working with my friend and how natural all the big changes felt was amazing. Every part of that game gave me some sort of shock. It is now my friends second favorite entry, but when we played and got to the credits it was his favorite. 
4/20/2022 3:36:14	33	Male	2-6 hours per week	No	No	5	5	3	2	5	1	5	3	1	2	5	4	3	5	5		Last of Us Part 2	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	realistic, visually stunning	5	captivating, complex	4	pleasant	5	The drive of the character kept the story in a constant sense of hurriedness and a solid goal to accomplish. Then you get to see the 'bad guys' perspective which enriches it even further.	post-apocalyptic world	the game was slow-paced and relaxing, the game was challenging at the right point	No	not applicable	
4/20/2022 3:52:02	32	Male	more than 6 hours per week	No	No	4	2	3	2	4	2	2	3	4	3	4	4	1	4	1		Bloodborne	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	disturbing, visually stunning, Terrifying, creepy	4	rich in subplots, complex, confusing	3	irrelevant, left me indifferent	3	I could choose the character out of a pre-made set, The character was customizable, I felt like my choices could affect the course of the game	medieval towns, fantasy world, post-apocalyptic world	the game was addictive, the game was challenging at the right point, the game was challenging, sometimes too much	No	not applicable	
4/20/2022 3:53:22	19	Male	more than 6 hours per week	No	No	3	2	4	3	2	2	2	4	4	3	4	1	4	5	3		Elden Ring	action-adventure (eg. metroidvania)	4	visually stunning, It's got amazing design but isn't perfectly realistic.	3	complex	4	captured my attention while playing	5	I was able to shape, at least partially, the main character's personality, The character was simple, The character was customizable	medieval towns, woods, forests, sky, post-apocalyptic world, fantasy world	the game kept me focused and absorbed, the game was challenging at the right point, the game was fast-paced and exciting, the game was challenging, sometimes too much	No	not applicable	The first phase of the final boss was pretty hot.
4/20/2022 4:00:53	30	Male	2-6 hours per week	No	No	4	4	2	2	4	3	2	4	3	4	4	3	3	5	2		Elden Ring	action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	disturbing, visually stunning	3	includes plot-twists, confusing, rich in subplots, complex, captivating	4	chilling, on spot, perfect for the game	3	The character was simple, The character was customizable	fantasy world	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/20/2022 4:05:28	22	Male	2-6 hours per week	No	No	2	2	3	3	4	1	4	5	2	3	4	1	3	5	2		Abzu	adventure (eg. text or graphic adventures, visual novels...)	4	visually stunning, simple	3	captivating	5	captured my attention while playing	4	The character was simple	sea, ocean	the game kept me focused and absorbed, the game was addictive, the game was slow-paced and relaxing, the game was very easy	No	not applicable	
4/20/2022 4:58:22	22	Male	more than 6 hours per week	No	No	4	2	2	5	5	3	5	5	1	5	5	1	4	5	5		Red Dead Redemption 2	adventure (eg. text or graphic adventures, visual novels...), simulation (eg. life simulation, vehicle simulation...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania)	5	visually stunning	5	captivating, simple and easy to follow, rich in subplots	4	pleasant, on spot, perfect for the game	5	I was able to shape, at least partially, the main character's personality, The character was simple, I identified myself with the main character, to a certain extent	sky, desert, woods, forests	the game was addictive, the game kept me focused and absorbed, the game was slow-paced and relaxing, the game was challenging at the right point	No	not applicable	
4/20/2022 5:04:13	32	Male	more than 6 hours per week	No	No	3	5	1	1	2	1	1	5	5	5	3	4	3	1	1		Cloudbuilt	action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning, Dreamscape	4	captivating	5	on spot, perfect for the game	5	The main character felt real	post-apocalyptic world, sky, space, spacecraft, dreamscape	the game was fast-paced and exciting	No	not applicable	It's fun
4/20/2022 5:07:17	29	Male	2-6 hours per week	No	No	4	3	2	4	3	3	5	5	5	4	5	4	3	5	4		Elder Scrolls: Skyrim	action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning	5	simple and easy to follow, captivating, rich in subplots	5	chilling, on spot, perfect for the game, captured my attention while playing, pleasant	5	I felt like my choices could affect the course of the game, The character was customizable, I was able to shape, at least partially, the main character's personality	woods, forests, medieval towns, fantasy world	the game kept me focused and absorbed, the game was addictive, the game was challenging, sometimes too much	No	not applicable	
4/20/2022 5:12:37	39	Male	more than 6 hours per week	No	No	4	3	3	4	4	3	4	4	3	4	4	2	4	5	3		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania)	4	visually stunning	4	rich in subplots, complex	5	on spot, perfect for the game, captured my attention while playing, chilling		The character was customizable	fantasy world	the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/20/2022 5:19:25	25	Male	2-6 hours per week	No	No	2	2	4	4	5	5	5	5	3	5	5	2	4	5	4	In all honesty, rarely can a game leave me in awe of something but when it does, it hits in stages and is not sudden	Nier Automata	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	simple	5	includes plot-twists, complex, captivating, rich in subplots, It's the most captivating humanist story I've ever witnessed 	5	pleasant, chilling, on spot, perfect for the game	5	I felt represented by the main character	post-apocalyptic world	the game was addictive, the game was slow-paced and relaxing	No	not applicable	I think in what NieR Automata captures is not just one moment of awe but a collection of small setups that lead to this grand finale that touched me deeply on a human level. And rarely has a game done that to me in my 25 years of life on this earth
4/20/2022 5:29:38	31	Male	more than 6 hours per week	No	No	3	2	4	3	5	4	5	5	5	5	5	2	4	5	3		Elden Ring	action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, disturbing	3	complex, confusing	5	chilling, pleasant	5	The character was customizable	medieval towns	the game was addictive, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/20/2022 5:31:44	29	Male	more than 6 hours per week	No	No	4	5	4	4	4	1	5	5	3	2	4	1	5	5	1	In a game where I had been focused on moving forward, action, and progression, it was a moment of calm where I took a breathe and just existed in the moment.  I didn't feel a need to move forward, I could take as much time as I wanted to just BE and experience the moment I was in.	Elden Ring	action (eg. platform, survival, stealth, shooter, fighting...), adventure (eg. text or graphic adventures, visual novels...), action-adventure (eg. metroidvania), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	5	visually stunning	4	includes plot-twists, rich in subplots, confusing, complex, drip fed and convoluted at times, however deep and meaningful is given proper context	3	on spot, perfect for the game, pleasant, Mostly inoffensive; some moments of high impact but spent most of it's time staying quiet and uninstrusive	5	I felt like my choices could affect the course of the game, I could choose the character out of a pre-made set, I was able to shape, at least partially, the main character's personality, The character was customizable, The character was simple, I identified myself with the main character, to a certain extent	woods, forests, sky, medieval towns, fantasy world, sea, ocean, desert	the game was challenging at the right point, the game was addictive, the game kept me focused and absorbed, the game was slow-paced and relaxing, the game was challenging, sometimes too much, the game was fast-paced and exciting	No	not applicable	
4/20/2022 5:41:10	30	Male	2-6 hours per week	No	No	5	5	3	3	4	3	5	5	5	4	5	5	5	3	4		Red Dead Redemption 2	action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning	5	complex, simple and easy to follow, captivating, rich in subplots, includes plot-twists	5	on spot, perfect for the game, captured my attention while playing	5	The character was simple	desert, woods, forests	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was very easy	No	not applicable	
4/20/2022 7:23:54	28	Male	more than 6 hours per week	No	No	3	4	2	1	1	3	2	2	2	2	4	4	4	4	4		Inside	adventure (eg. text or graphic adventures, visual novels...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), action (eg. platform, survival, stealth, shooter, fighting...)	3	simple, disturbing	3	captivating, includes plot-twists	4	chilling, on spot, perfect for the game	4	The character was simple	woods, forests, post-apocalyptic world	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/20/2022 8:24:49	26	Male	more than 6 hours per week	No	No	2	3	4	4	5	5	5	4	4	4	5	5	5	5	5		Cyberpunk 2077	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	disturbing, realistic, visually stunning	5	complex, captivating, rich in subplots	5	on spot, perfect for the game, pleasant, chilling, captured my attention while playing	5	I felt like my choices could affect the course of the game, The character was customizable, I felt represented by the main character, I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent	post-apocalyptic world, space, spacecraft, desert	the game was fast-paced and exciting, the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive	No	not applicable	
4/20/2022 8:53:24	35	Male	more than 6 hours per week	No	No	2	2	4	3	3	2	4	2	4	4	4	4	2	3	1		Elder Scrolls: Skyrim	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	Stunning isn’t quite right… but I was amazed by the size and scale of them	4	weak, contains plot holes, simple and easy to follow, rich in subplots, includes plot-twists	5	on spot, perfect for the game, captured my attention while playing, pleasant	5	The character was customizable, I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent	fantasy world, sea, ocean, woods, forests, mountains, cliffs, snow	the game was addictive, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/20/2022 9:01:32	29	Male	more than 6 hours per week	No	No	5	2	5	1	4	2	4	4	3	4	4	1	4	5	4		Elden Ring	adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning	3	rich in subplots, complex	5	captured my attention while playing, on spot, perfect for the game	5	The character was simple, I felt like my choices could affect the course of the game, The character was customizable	woods, forests, fantasy world, medieval towns	the game kept me focused and absorbed, the game was challenging, sometimes too much	No	not applicable	This is applicable to most From Software games, but the way I found that Elden Ring was able to cause a sense of awe was by inducing a sense of "flow" while playing that keeps you immersed and focused on the gameplay. However every so often they would present you with some grand vista or some revelation, whether that be plot-related or gameplay-related, that would be amplified by that sense of "flow" and immersion, giving that sense of awe.
4/20/2022 11:37:06	31	Male	more than 6 hours per week	No	No	4	2	1	1	1	1	1	4	1	1	4	1	3	4	1		Metroid Dread	action-adventure (eg. metroidvania)	4	visually stunning	3	confusing, includes plot-twists	3	irrelevant, left me indifferent	4	The character was simple	space, spacecraft	the game was challenging at the right point, the game kept me focused and absorbed, the game was fast-paced and exciting	No	not applicable	
4/20/2022 22:41:55	31	Male	2-6 hours per week	No	No	5	4	5	5	5	4	5	5	5	5	5	4	4	5	4		Assassin's Creed Brotherhood	action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania)	4	visually stunning, realistic	4	confusing, includes plot-twists, weak, contains plot holes, complex	5	captured my attention while playing, chilling, on spot, perfect for the game	5	The character was simple	modern city, recreation of an early modern/Renaissance city	the game was addictive, the game was fast-paced and exciting, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/21/2022 9:27:22	16	Male	more than 6 hours per week	No	No	1	1	1	1	2	1	1	3	1	1	3	1	1	5	1		Inscryption	strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	5	visually stunning	5	includes plot-twists, captivating, complex	5	on spot, perfect for the game, pleasant	3	I felt like my choices could affect the course of the game	a video game	the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/21/2022 20:27:12	17	Male	more than 6 hours per week	No	No	4	3	2	4	2	1	4	5	2	2	4	3	5	5	2		Ark survival evolved	action (eg. platform, survival, stealth, shooter, fighting...)	3	realistic	4	complex	5	captured my attention while playing	3	Not applicable	fantasy world, woods, forests	the game was challenging, sometimes too much	No	not applicable	
4/22/2022 2:28:17	31	Male	2-6 hours per week	No	Yes	4	3	3	4	5	2	3	4	2	4	4	2	4	5	3		Katamari Damacy	Arcade	2	simple	3	simple and easy to follow, quirky	5	pleasant, captured my attention while playing, on spot, perfect for the game	3	The character was simple	post-apocalyptic world, sea, ocean, modern city	the game kept me focused and absorbed, the game was challenging at the right point, the game was addictive, the game was slow-paced and relaxing	No	not applicable	
4/23/2022 4:30:14	26	Male	more than 6 hours per week	No	No	5	5	3	1	1	1	1	4	4	4	4	5	1	5	1	A moment of awe-inspiring beauty combined with sudden certainty that what I was seeing (a boss' attack) was about to kill me.  It did!	Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	disturbing, visually stunning	4	complex, confusing, captivating, rich in subplots	4	captured my attention while playing	3	The character was simple, The character was customizable	fantasy world	the game was challenging, sometimes too much, the game kept me focused and absorbed	No	not applicable	You should play it, it's fun!
4/24/2022 9:29:34	24	Male	more than 6 hours per week	No	No	5	3	3	1	1	1	3	5	5	5	5	1	5	5	5		Undertale	adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	simple	5	includes plot-twists, simple and easy to follow, rich in subplots, captivating	5	pleasant, captured my attention while playing, chilling, on spot, perfect for the game	5	I felt like my choices could affect the course of the game, The character was simple, I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent	fantasy world, woods, forests, modern city	the game kept me focused and absorbed, the game was challenging at the right point, the game was addictive	No	not applicable	
4/24/2022 18:10:34	16	Male	2-6 hours per week	No	No	5	4	3	5	5	5	5	3	4	5	5	2	5	4	5		Mass Effect 1&2, RDR & RDR2, Death Stranding, Call of Duty: Modern Warfare 2, The Last of Us 1&2	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), Open worlds, survival, third-person shooters, first-person shooters, “walking simulators” 	5	visually stunning, realistic	5	rich in subplots, captivating, complex, thought-provoking 	4	on spot, perfect for the game	5	I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent	woods, forests, modern city, space, spacecraft, post-apocalyptic world	the game kept me focused and absorbed, the game was slow-paced and relaxing, the game was challenging at the right point	No	not applicable	
